Numfront:	
61	
	
AUGMECON-II:	15
9523.02185	2343.67526
9908.26332	2236.97265
9745.47795	2243.02552
9524.43338	2319.42442
9670.76943	2247.35422
9580.03962	2295.44096
9659.14665	2265.73145
9591.66239	2277.06374
10333.30191	2220.18017
10331.49851	2221.96163
9580.03962	2295.44096
9571.74511	2304.70306
9652.43195	2271.93141
9630.95347	2272.92160
9567.67894	2309.58310
9563.72446	2315.28228
9545.91187	2318.43422
9692.24791	2246.36403
9722.19606	2245.79717
9952.59206	2229.92694
9982.54022	2229.36009
9929.74181	2235.98245
9931.11358	2230.91714
9567.67894	2309.58310
9571.74511	2304.70306
9723.99946	2244.01572
9952.59206	2229.92694
9931.11358	2230.91714
10005.82210	2226.58844
9984.34361	2227.57863
9524.43338	2319.42442
9591.66239	2277.06374
9545.91187	2318.43422
9613.14088	2276.07354
9613.14088	2276.07354
9984.34361	2227.57863
9591.66239	2277.06374
	
NSGA-II_9:	73
10282.60066	2295.65906
9227.87199	2519.20397
9235.96085	2456.78691
9235.81985	2505.17273
9981.29380	2299.14936
10197.73245	2298.08547
9893.25011	2306.82765
9254.24022	2429.98859
9247.20780	2446.05099
9571.33796	2380.60595
9579.83485	2369.14512
10282.60066	2295.65906
9835.09908	2306.92060
9918.15737	2300.77214
10219.46423	2297.28184
9771.96265	2308.54338
9582.48727	2356.23404
9520.03987	2382.17647
9835.09908	2306.92060
9313.72963	2399.25266
9386.87727	2390.23633
9896.42558	2301.57577
9233.44614	2514.48261
9438.30391	2388.67928
9495.32539	2385.18898
9497.12879	2383.40752
9707.83549	2319.32025
9278.81171	2412.45594
9265.48717	2419.25266
9709.01890	2317.11825
9607.83257	2339.86315
9584.49737	2353.80763
9466.80984	2385.51497
9602.23999	2344.26602
9576.21640	2377.75212
9345.66530	2398.00757
9255.47651	2426.40043
9577.82475	2371.57153
9409.78835	2389.00528
9627.58529	2327.89512
9288.82237	2405.30818
9311.73345	2404.07712
9370.75112	2395.76236
9750.23086	2309.34701
9747.05539	2314.59889
9257.48661	2423.97402
9229.88209	2516.77756
9284.38586	2407.73458
9619.47088	2333.59431
9590.60168	2350.53485
9660.68284	2325.82307
9681.33267	2319.32025
9605.82247	2342.28955
9725.32360	2315.40252
9384.88108	2395.06079
9361.97000	2396.29185
9463.01838	2385.66677
9443.89876	2386.74603
9336.64071	2398.02161
9409.78835	2389.00528
9613.93688	2336.59037
9625.57519	2330.32153
9596.13568	2347.53880
9657.15894	2326.39272
9594.12558	2349.96520
9615.94698	2334.16396
9237.19715	2453.19875
9666.78715	2322.55029
9640.12071	2327.09149
9668.79726	2320.12388
9242.77129	2448.47739
9261.05066	2421.67907
9239.20725	2450.77234
	
NSGA-II_10:	75
10455.87061	2241.26203
9216.90713	2474.72600
9360.08756	2437.80133
9368.84138	2382.52497
10337.99724	2246.97359
10219.38479	2247.92353
9385.23627	2364.88565
9545.50052	2339.94137
9971.46713	2283.74838
9304.45871	2455.51726
9311.62808	2443.51288
9883.31771	2290.13641
9437.82135	2361.54715
10166.79970	2251.26203
9467.52434	2358.96206
9487.52782	2350.27908
10417.94267	2245.69477
10455.87061	2241.26203
10417.94267	2245.69477
10359.47572	2245.98339
9277.47772	2460.23862
9252.46501	2466.65376
10018.42143	2272.24469
9872.17188	2300.21914
9935.90279	2286.79790
9883.31771	2290.13641
9873.76073	2298.17916
9333.10656	2442.52268
9360.08756	2437.80133
9963.90839	2285.12456
9763.49958	2310.95704
9807.30938	2309.57419
10122.98990	2252.64488
10048.92633	2256.97359
9550.84489	2331.72283
9689.43601	2315.28574
9684.09164	2323.50429
10043.58196	2265.19213
9663.96018	2325.79924
9624.90846	2327.39413
9831.33433	2306.39770
9525.36907	2342.23633
9859.89447	2306.23568
10166.79970	2251.26203
9985.60926	2275.52983
10070.40481	2255.98339
9710.91449	2314.29555
9742.02109	2311.94724
9465.82695	2359.87381
9807.30938	2309.57419
9437.82135	2361.54715
9572.32337	2330.73264
9603.42997	2328.38433
10101.51141	2253.63508
9498.86151	2347.98413
10023.45051	2267.48708
9684.09164	2323.50429
9520.33999	2346.99393
9859.89447	2306.23568
9295.98835	2458.97248
9763.49958	2310.95704
9742.02109	2311.94724
9520.33999	2346.99393
9996.94295	2273.23488
10048.92633	2256.97359
10337.99724	2246.97359
10070.40481	2255.98339
9689.43601	2315.28574
9216.90713	2474.72600
9252.46501	2466.65376
9225.48402	2471.37512
9243.88812	2470.00464
9277.47772	2460.23862
9710.91449	2314.29555
10359.47572	2245.98339
	
NSGA-II_11:	68
10393.45842	2238.31556
9442.20552	2574.90709
9560.55221	2502.39384
9590.00027	2468.55162
9610.60366	2444.75536
9471.38725	2558.73791
9492.18765	2541.09859
9742.66965	2413.52175
9581.15560	2478.59758
9994.38050	2325.53719
9951.45800	2333.71857
9772.48544	2375.88685
9743.03738	2409.72906
9755.87624	2395.88243
9528.20412	2532.06342
10342.77776	2247.08450
9657.84900	2433.01777
9893.13803	2342.48752
9685.85360	2427.94366
10098.07213	2274.70748
10131.64229	2272.14227
10088.85672	2275.83711
10066.18750	2282.43287
9443.79129	2563.45927
10124.50748	2273.66393
9859.56787	2345.05273
9711.10814	2424.65226
9620.69133	2437.11604
9801.24789	2353.82167
10039.75216	2283.47643
10023.82857	2291.69497
9785.32430	2362.04021
10189.96227	2263.37333
9908.67243	2337.41341
9943.07469	2336.36985
10220.47411	2261.11575
9771.79983	2387.66389
10008.84053	2317.55283
9558.44842	2509.91774
9536.49469	2514.44145
9652.78817	2433.42120
9627.53362	2436.71261
9772.11772	2379.67953
10271.15477	2252.34680
10022.04711	2299.91351
10010.82294	2307.55283
9997.61635	2325.19215
10220.47411	2261.11575
10251.55875	2260.56535
10298.38132	2250.43538
9534.00237	2524.89852
9716.16898	2424.24883
10147.17670	2267.06816
10321.29928	2248.07470
10039.75216	2283.47643
10173.61204	2266.02461
9850.35245	2346.18235
10356.70130	2241.66644
10371.97994	2239.30576
9843.64428	2353.27127
10022.04711	2299.91351
10023.82857	2291.69497
10010.30410	2317.31864
10319.85980	2249.44518
9825.39003	2353.82167
10010.62198	2309.33429
10255.87613	2254.70748
9759.27886	2393.52617
	
NSGA-II_12:	64
10949.31730	2262.57608
9309.65796	2404.13570
10590.18632	2273.50217
10367.16931	2274.35556
9340.97355	2369.06243
9319.02228	2386.49638
9311.52549	2402.90465
9348.47034	2352.65416
9339.10602	2370.29348
9336.66347	2383.56809
9784.68560	2309.07760
9618.38751	2323.35832
9529.02319	2328.07968
9961.47892	2293.10816
9859.21279	2294.33922
10264.90318	2275.58661
10942.18220	2263.22106
10847.05117	2263.80714
9697.73213	2310.77630
10666.90999	2268.52850
9656.77671	2315.34587
9811.10272	2297.67772
9788.25246	2303.73323
10216.79311	2278.92512
10747.69763	2268.28763
10084.76200	2280.30797
10165.54964	2280.06711
9577.13327	2324.74117
9413.78509	2342.40932
9366.11153	2349.72587
9374.69718	2345.74782
9506.17294	2334.13519
9464.06150	2341.02646
9415.65261	2341.17826
9658.64423	2314.11481
9503.14940	2337.68796
10798.94110	2267.14564
10015.17343	2284.63667
10013.80166	2289.70199
9618.38751	2323.35832
10036.65192	2283.64648
10063.28351	2281.29817
9695.86461	2312.00736
9465.92903	2339.79541
10839.91607	2264.45211
10659.77489	2269.17347
10769.17611	2267.29744
10638.29640	2270.16367
9376.56471	2344.51676
9334.79594	2384.79914
9364.24401	2350.95692
9320.88980	2385.26533
9350.33786	2351.42311
10187.02812	2279.07692
10063.28351	2281.29817
10762.04101	2267.94242
9992.32318	2290.69219
10597.32142	2272.85720
10618.79991	2271.86700
10165.54964	2280.06711
10187.02812	2279.07692
9991.24390	2292.95636
9505.01693	2336.45690
10084.76200	2280.30797
	
NSGA-II_13:	77
10888.93088	2168.85826
9207.69904	2523.17620
9408.28379	2437.42914
9418.62614	2402.65332
10069.95714	2239.17769
9348.27338	2474.61929
10211.69435	2239.17769
9587.36623	2387.29468
10780.80689	2170.08932
9360.38993	2450.52678
9466.52000	2389.55568
9805.01286	2258.78308
9879.73712	2255.09182
10491.69477	2186.48124
9562.92695	2389.31482
10555.25768	2184.12056
10276.57539	2224.25750
9760.68407	2280.00737
9671.19186	2312.10160
9665.12159	2329.19218
9929.79687	2251.63980
10439.10969	2189.81975
10428.21353	2196.00345
9787.07682	2276.53422
9793.29583	2259.77327
9593.43649	2370.20410
10664.65889	2175.78851
9981.25350	2245.74203
10704.00380	2174.33289
9642.98424	2340.38587
9708.60097	2292.13897
9674.78359	2303.33266
9627.25386	2359.01041
10478.45459	2188.36413
10385.27688	2206.22801
10067.69479	2241.06058
9375.69870	2440.76765
9267.99394	2499.56506
9281.27910	2492.58547
10575.25768	2184.12056
9211.29077	2514.40726
9336.55634	2475.60949
9597.02822	2361.43515
9422.21787	2393.88438
9363.98166	2441.75784
9752.90309	2287.81027
10216.15186	2231.40645
10030.56207	2244.75183
9661.52986	2337.96113
9639.39251	2349.15481
9630.84560	2350.24147
9881.99947	2253.20893
10725.52825	2172.45000
9927.92934	2252.87086
10028.19419	2245.43769
10326.81645	2216.61818
9235.40886	2502.90356
10309.16047	2220.91900
9741.18605	2288.80046
9292.99614	2491.59527
9256.27691	2500.55525
9433.93491	2392.89419
9981.25350	2245.74203
10388.86862	2197.45907
10614.41782	2183.42783
10388.86862	2197.45907
9705.00923	2300.90791
9332.96461	2484.37843
9223.69182	2503.89376
9220.10008	2512.66270
10614.41782	2183.42783
10653.76273	2181.97221
9313.86419	2489.24696
9608.74526	2360.44496
10359.40154	2213.27968
10214.28434	2232.63750
10654.15756	2181.32038
	
NSGA-II_14:	49
9828.74857	2258.59476
9222.04904	2436.70772
9242.33953	2405.21675
9244.20706	2403.98570
9261.66348	2378.41235
9682.55385	2266.36600
9775.51854	2261.93327
9485.20560	2290.57433
9583.54665	2277.14288
9560.80122	2290.08966
9453.99430	2300.28731
9386.19840	2301.35121
9653.21008	2274.84792
9301.48628	2315.38245
9369.28218	2314.31855
9277.31816	2350.53088
9275.17501	2365.86837
9263.67358	2375.98594
9297.47560	2331.95099
9277.18511	2363.44196
9297.60865	2319.03991
9295.46550	2334.37740
9581.53655	2279.56928
9572.93447	2286.45276
9285.83159	2343.26392
9483.33807	2291.80539
9375.58622	2310.66109
9477.29198	2296.14160
9382.32077	2305.00867
9674.64023	2271.93327
9460.29833	2296.62985
9562.66875	2288.85861
9657.64659	2272.42152
9279.32827	2348.10447
9283.96407	2344.49497
9277.18511	2363.44196
9297.47560	2331.95099
9281.95397	2346.92138
9373.71869	2311.89215
9371.14971	2313.08750
9458.43081	2297.86090
9455.86183	2299.05625
9458.43081	2297.86090
9384.33087	2302.58226
9299.61875	2316.61350
9384.18830	2303.77761
9299.47618	2317.80886
9299.61875	2316.61350
9301.48628	2315.38245
	
NSGA-II_15:	51
10479.65319	2287.40987
9749.23238	2620.21647
9751.19643	2610.95437
9751.82206	2528.08480
10165.00925	2309.21235
10352.96692	2295.18111
10291.69552	2301.44111
10038.18012	2342.09668
10137.90850	2334.46424
10352.96692	2295.18111
10139.67176	2322.15914
9968.55036	2399.86792
9951.46101	2411.11392
9886.68131	2427.36677
9926.08299	2426.97179
9773.32054	2467.62735
9854.94758	2443.31268
10160.55173	2316.98360
10007.78928	2357.63916
9986.90931	2362.81470
9972.78378	2398.18789
9752.99754	2513.94266
9986.90931	2362.81470
9985.73383	2376.95684
9824.63188	2443.99824
9973.95926	2384.04576
10012.24679	2349.86792
9798.69856	2451.76948
9860.74798	2435.13801
9823.28899	2444.40167
9885.33842	2427.77020
9795.39161	2461.43501
9771.35648	2476.88945
9760.37049	2488.85841
9758.40644	2498.12050
10012.24679	2349.86792
9796.73451	2461.03158
9754.96159	2504.68056
9950.11812	2411.51735
9949.49696	2420.37602
9797.35567	2452.17292
9856.29047	2442.90925
9859.40509	2435.54144
9937.27926	2425.36398
9944.11721	2421.51020
9763.50321	2483.68286
9937.27926	2425.36398
9926.08299	2426.97179
9945.46010	2421.10677
9948.15407	2420.77945
9945.46010	2421.10677
	
NSGA-II_16:	70
10731.94592	2166.98964
9113.29811	2402.55590
10453.16668	2184.35939
10127.34616	2187.27010
10655.86562	2176.38366
10506.39671	2181.02088
9233.45958	2341.43184
9235.60273	2326.09436
9115.44126	2387.21841
9265.05079	2292.25214
9113.29811	2402.55590
9262.90764	2307.58963
9194.54829	2357.50890
9998.76275	2196.19449
9649.89378	2214.94709
10678.71588	2170.32814
9276.74663	2283.30257
9193.10933	2370.26852
9247.29857	2317.14479
9387.47759	2244.90331
9875.44299	2200.91585
9719.98350	2213.56424
9945.53271	2199.53299
10504.59331	2182.80234
9648.09038	2216.72855
9274.07297	2292.25214
9196.41582	2356.27784
9127.13710	2378.26884
9399.17343	2235.95374
9320.06639	2265.66325
9454.27099	2231.38418
9522.49318	2231.23238
9573.81349	2224.34111
9596.66374	2218.28560
9771.41014	2212.00719
9206.24413	2348.55933
9596.66374	2218.28560
9996.95935	2197.97594
10730.14252	2168.77110
10074.11612	2190.60860
9308.37055	2274.61282
9773.21354	2210.22573
9570.60326	2227.89388
9401.04095	2234.72268
9447.28350	2232.61523
9524.36071	2230.00132
9839.62472	2201.90604
9346.02535	2261.31157
9389.34511	2243.67225
9357.72119	2252.36200
9355.85367	2253.59306
10047.68078	2191.65215
9786.39468	2205.24455
9344.15783	2262.54263
10100.91081	2188.31365
9822.21295	2204.25435
9181.39229	2371.25871
9178.14521	2373.13651
9232.92529	2344.70114
10058.96720	2191.24872
9837.82132	2203.68750
9166.42817	2374.12671
9153.81826	2374.41066
9208.11166	2347.32828
9570.60326	2227.89388
9573.81349	2224.34111
9221.20825	2345.69134
9219.82870	2346.33808
9138.85414	2377.27865
9142.10122	2375.40085
	
NSGA-II_17:	72
10863.30405	2167.17912
9127.94375	2499.79828
10328.66314	2207.20505
10076.87388	2210.20875
9217.88719	2413.68381
9235.67400	2381.70470
10524.98024	2181.21036
10686.34264	2179.38800
9204.43575	2437.69216
9217.88719	2413.68381
9800.79222	2225.47104
9988.74989	2211.43980
10775.18006	2168.41018
10436.85625	2182.44142
9434.70817	2317.21915
9888.91621	2224.23999
9325.15235	2351.12548
9477.47927	2312.55585
9480.91724	2297.72451
9329.61053	2348.20394
9253.58945	2370.47365
9235.67400	2381.70470
9592.48979	2254.01558
9131.42596	2485.95165
9669.89079	2241.90813
9562.98170	2263.00315
9380.88138	2330.50041
9389.78788	2327.43231
9152.65691	2469.89614
9149.91320	2482.25682
9275.96794	2362.25510
9253.58945	2370.47365
9301.55866	2358.91660
9945.34462	2222.99685
9162.65577	2467.36663
9509.38997	2279.99064
9495.26608	2280.57674
9588.57242	2259.66465
9759.13993	2236.50034
9961.14907	2217.20471
9755.37684	2239.45450
10411.26553	2185.77992
10373.60955	2190.08074
9188.08361	2444.04515
9168.36675	2451.74332
9511.17142	2271.77209
9355.29067	2333.83891
9343.06779	2339.89442
9773.19140	2231.23596
9489.69307	2291.22170
9432.69166	2321.73146
10749.58934	2171.74868
10711.93336	2176.04950
9536.76214	2268.43359
9721.48395	2240.80115
9200.30649	2437.98964
9163.56186	2459.96186
10348.01884	2193.41924
10330.44459	2198.98651
9188.08361	2444.04515
9667.88069	2244.33454
9644.30007	2245.24664
9775.20150	2228.80955
9513.18152	2269.34569
9986.73979	2213.86621
9618.08051	2250.67708
9798.78212	2227.89745
9415.37860	2324.09381
9642.28997	2247.67305
9163.56186	2459.96186
9963.15918	2214.77831
9574.67523	2262.23413
	
NSGA-II_18:	64
10721.76959	2237.19977
9436.60394	2509.71609
10256.14169	2263.79356
9522.67038	2458.41267
9524.18293	2430.53120
10390.07907	2259.89135
9884.36366	2320.30762
9982.48277	2317.39560
10065.61307	2291.70163
10029.67924	2307.65244
10507.95619	2250.20540
10616.60460	2245.81692
9655.60818	2357.74309
9593.02837	2379.45882
9619.60418	2365.15801
10145.48908	2282.59821
9541.11706	2412.89188
9453.53808	2492.07677
9451.31888	2509.13687
9538.89786	2429.95198
10092.25905	2285.93672
10668.53955	2240.53828
10719.96619	2238.98123
9461.86927	2482.04795
9563.21478	2391.27925
9549.44826	2402.86306
9682.18399	2343.44228
10143.68568	2284.37967
9708.82997	2337.67737
10668.03123	2244.25987
9760.25660	2336.12032
10254.33829	2265.57502
10202.91165	2267.13207
9475.63580	2470.46414
9566.38239	2385.22374
10176.26567	2272.89698
9768.66937	2330.40123
9708.82997	2337.67737
9478.80341	2464.40862
9505.44939	2458.64371
10469.95509	2250.78793
9848.54539	2321.29781
10416.72505	2254.12644
9831.13362	2323.64612
10009.12875	2311.63069
10454.72615	2253.54391
9795.31535	2324.63632
9762.06000	2334.33886
9566.38239	2385.22374
9478.80341	2464.40862
9549.44826	2402.86306
9563.21478	2391.27925
9458.70166	2488.10346
9546.28064	2408.91857
9646.25016	2359.39310
9628.96220	2363.50801
9846.74199	2323.07927
9593.02837	2379.45882
9453.53808	2492.07677
9546.28064	2408.91857
10402.79120	2258.82255
10003.03326	2313.41736
9505.44939	2458.64371
10468.15169	2252.56939
	
NSGA-II_19:	67
11305.15788	2192.86555
9652.35051	2469.62184
9652.74223	2442.53292
9652.35051	2469.62184
9719.13525	2394.58832
9720.54678	2370.33748
11011.12007	2209.20968
11251.92784	2196.20405
